ID,Win_ID,Lose_ID,Tie_ID_1,Tie_ID_2
1,Camden,Brunswick,,
2,Camden,Mt_Ararat,,
3,Camden,Oceanside,,
4,Camden,Mt_Blue,,
5,Camden,Lincoln_Academy,,
6,Camden,Lewiston,,
7,Camden,Belfast,,
8,Camden,Mt_Ararat,,
9,Camden,Edward_Little,,
10,Camden,Brunswick,,
11,Camden,Medomak_Valley,,
12,Hampden,Bangor,,
13,Hampden,Brewer,,
14,Hampden,Hermon,,
15,Hampden,Brewer,,
16,Hampden,Ellsworth,,
17,Hampden,Bangor,,
18,Hampden,Skowhegan,,
19,Hampden,Foxcroft_Academy,,
20,Hampden,Ellsworth,,
21,Skowhegan,Brewer,,
22,Skowhegan,Edward_Little,,
23,Skowhegan,Hampden,,
24,Skowhegan,Brewer,,
25,Skowhegan,Waterville,,
26,Skowhegan,Mt_Blue,,
27,Skowhegan,Bangor,,
28,Skowhegan,Lewiston,,
29,Skowhegan,Bangor,,
30,Brunswick,Lewiston,,
31,Brunswick,Mt_Ararat,,
32,Brunswick,Edward_Little,,
33,Brunswick,Morse,,
34,Brunswick,Mt_Blue,,
35,Brunswick,Edward_Little,,
36,Brunswick,Mt_Ararat,,
37,Brunswick,Lewiston,,
38,Mt_Blue,Lewiston,,
39,Mt_Blue,Skowhegan,,
40,Mt_Blue,Waterville,,
41,Mt_Blue,Cony,,
42,Mt_Blue,Waterville,,
43,Mt_Blue,Lewiston,,
44,Mt_Blue,Edward_Little,,
45,Mt_Ararat,Edward_Little,,
46,Mt_Ararat,Mt_Blue,,
47,Mt_Ararat,Lewiston,,
48,Mt_Ararat,Morse,,
49,Mt_Ararat,Lewiston,,
50,Mt_Ararat,Edward_Little,,
51,Bangor,Ellsworth,,
52,Bangor,Brewer,,
53,Bangor,Brewer,,
54,Edward_Little,Mt_Blue,,
55,Edward_Little,Lewiston,,
56,Edward_Little,Cony,,
57,Brewer,Washington_Academy,,
58,Brewer,Belfast,,
59,Brewer,Belfast,,
60,Lewiston,Edward_Little,,
61,Lewiston,Gardiner,,
62,Thornton_Academy,Westbrook,,
63,Thornton_Academy,Deering,,
64,Thornton_Academy,Cheverus,,
65,Thornton_Academy,Windham,,
66,Thornton_Academy,Portland,,
67,Thornton_Academy,Sanford,,
68,Thornton_Academy,Falmouth,,
69,Thornton_Academy,Biddeford,,
70,Thornton_Academy,Marshwood,,
71,Thornton_Academy,Kennebunk,,
72,Thornton_Academy,Gorham,,
73,Thornton_Academy,Bonny_Eagle,,
74,Kennebunk,Cheverus,,
75,Kennebunk,Portland,,
76,Kennebunk,Falmouth,,
77,Kennebunk,Windham,,
78,Kennebunk,Sanford,,
79,Kennebunk,Biddeford,,
80,Kennebunk,South_Portland,,
81,Kennebunk,Marshwood,,
82,Kennebunk,Gorham,,
83,Kennebunk,Deering,,
84,Kennebunk,Bonny_Eagle,,
85,Portland,Biddeford,,
86,Portland,Sanford,,
87,Portland,Marshwood,,
88,Portland,Falmouth,,
89,Portland,Bonny_Eagle,,
90,Portland,Gorham,,
91,Portland,South_Portland,,
92,Portland,Westbrook,,
93,Portland,Scarborough,,
94,Portland,Windham,,
95,Cheverus,Biddeford,,
96,Cheverus,Marshwood,,
97,Cheverus,Bonny_Eagle,,
98,Cheverus,Deering,,
99,Cheverus,South_Portland,,
100,Cheverus,Sanford,,
101,Cheverus,Westbrook,,
102,Cheverus,Windham,,
103,Cheverus,Falmouth,,
104,South_Portland,Gorham,,
105,South_Portland,Scarborough,,
106,South_Portland,Westbrook,,
107,South_Portland,Windham,,
108,South_Portland,Falmouth,,
109,South_Portland,Sanford,,
110,South_Portland,Deering,,
111,South_Portland,Biddeford,,
112,South_Portland,Marshwood,,
113,Falmouth,Marshwood,,
114,Falmouth,Scarborough,,
115,Falmouth,Windham,,
116,Falmouth,Gorham,,
117,Falmouth,Bonny_Eagle,,
118,Falmouth,Deering,,
119,Westbrook,Bonny_Eagle,,
